09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.021  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /ERR/LOKO/0x00000002
09:37:34.266  INFO     RX        /BATTERY/VDDA/12863 mV
09:37:34.266  INFO     RX        === Hexapod Mainboard ===
09:37:34.266  INFO     RX        PCA9685 Right: OK
09:37:34.266  INFO     RX        PCA9685 Left:  OK
09:37:34.266  INFO     RX        LSM6DSO IMU:   OK
09:37:34.266  INFO     RX        VL53L1X ToF:   OK
09:37:34.266  INFO     RX        Locomotion:    INIT (UN_ARMED, printf mode)
09:37:34.266  INFO     RX        Press L1 to arm, R1 to disarm at any time.
09:37:34.266  INFO     RX        Ready.
09:37:34.319  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:35.122  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:35.924  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:36.727  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:37.530  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:38.333  DEBUG    TX /CONTROLL/0,0,15,-70,0,0,0,0,0
09:37:39.138  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:39.942  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:40.746  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:41.555  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:41.793  INFO     RX        /BATTERY/VDDA/12861 mV
09:37:41.793  INFO     RX        === Hexapod Mainboard ===
09:37:41.793  INFO     RX        PCA9685 Right: OK
09:37:41.793  INFO     RX        PCA9685 Left:  OK
09:37:41.793  INFO     RX        LSM6DSO IMU:   OK
09:37:42.029  INFO     RX        VL53L1X ToF:   OK
09:37:42.029  INFO     RX        Locomotion:    INIT (UN_ARMED, printf mode)
09:37:42.029  INFO     RX        Press L1 to arm, R1 to disarm at any time.
09:37:42.029  INFO     RX        Ready.
09:37:42.358  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:43.161  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:43.963  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:44.765  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:45.568  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:46.375  DEBUG    TX /CONTROLL/0,0,-12,-100,0,0,0,0,0
09:37:46.416  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.416  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.416  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.499  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.565  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.565  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.565  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.565  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.565  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.656  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.738  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.738  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.738  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.738  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.738  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.816  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.906  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.907  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:46.989  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.066  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.166  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.166  INFO     RX        /ERR/LOKO/0x00000002
09:37:47.181  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:47.985  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.650  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.733  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.793  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:48.815  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.815  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.815  INFO     RX        /ERR/LOKO/0x00000002
09:37:48.815  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.031  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.032  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.065  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.065  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.065  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.065  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.065  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.071  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.166  INFO     RX        /ERR/LOKO/0x00000002
09:37:49.597  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:50.398  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:51.204  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:52.008  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:52.336  WARNING  Connection closed by remote
09:37:52.812  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:53.615  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:54.420  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:55.223  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:56.027  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:56.840  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:57.643  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:58.447  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:37:59.251  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:00.054  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:00.855  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:01.659  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:02.463  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:03.266  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
09:38:04.067  DEBUG    TX /CONTROLL/0,0,0,0,0,0,0,0,0
